Num of block,Count,Time
100,1,128
100,2,48
100,3,39
100,4,58
100,5,64
100,6,42
100,7,34
100,8,29
100,9,41
100,10,38
200,1,158
200,2,112
200,3,38
200,4,49
200,5,46
200,6,50
200,7,55
200,8,106
200,9,54
200,10,48
300,1,152
300,2,64
300,3,69
300,4,50
300,5,58
300,6,73
300,7,64
300,8,53
300,9,60
300,10,62
400,1,230
400,2,111
400,3,54
400,4,69
400,5,61
400,6,61
400,7,63
400,8,70
400,9,64
400,10,66
500,1,206
500,2,92
500,3,70
500,4,72
500,5,120
500,6,63
500,7,74
500,8,68
500,9,67
500,10,72
600,1,269
600,2,108
600,3,83
600,4,112
600,5,75
600,6,78
600,7,76
600,8,91
600,9,83
600,10,90
700,1,222
700,2,157
700,3,99
700,4,102
700,5,79
700,6,97
700,7,90
700,8,97
700,9,110
700,10,105
800,1,273
800,2,244
800,3,151
800,4,103
800,5,78
800,6,93
800,7,108
800,8,111
800,9,93
800,10,96
900,1,320
900,2,288
900,3,88
900,4,94
900,5,108
900,6,102
900,7,130
900,8,125
900,9,124
900,10,120
1000,1,289
1000,2,169
1000,3,112
1000,4,122
1000,5,90
1000,6,118
1000,7,120
1000,8,117
1000,9,228
1000,10,86
1100,1,227
1100,2,176
1100,3,118
1100,4,145
1100,5,130
1100,6,127
1100,7,134
1100,8,140
1100,9,142
1100,10,222
1200,1,448
1200,2,175
1200,3,222
1200,4,126
1200,5,204
1200,6,202
1200,7,209
1200,8,104
1200,9,235
1200,10,221
1300,1,541
1300,2,195
1300,3,188
1300,4,213
1300,5,206
1300,6,204
1300,7,155
1300,8,187
1300,9,181
1300,10,176
1400,1,724
1400,2,248
1400,3,205
1400,4,215
1400,5,234
1400,6,229
1400,7,195
1400,8,230
1400,9,225
1400,10,268
1500,1,450
1500,2,293
1500,3,270
1500,4,239
1500,5,200
1500,6,226
1500,7,255
1500,8,199
1500,9,157
1500,10,248
1600,1,618
1600,2,243
1600,3,228
1600,4,277
1600,5,237
1600,6,306
1600,7,228
1600,8,288
1600,9,231
1600,10,243
1700,1,543
1700,2,300
1700,3,320
1700,4,246
1700,5,292
1700,6,257
1700,7,254
1700,8,285
1700,9,225
1700,10,348
1800,1,462
1800,2,288
1800,3,258
1800,4,247
1800,5,265
1800,6,278
1800,7,240
1800,8,251
1800,9,256
1800,10,232
1900,1,763
1900,2,328
1900,3,236
1900,4,281
1900,5,276
1900,6,253
1900,7,233
1900,8,285
1900,9,283
1900,10,261
2000,1,842
2000,2,371
2000,3,277
2000,4,291
2000,5,299
2000,6,305
2000,7,271
2000,8,274
2000,9,348
2000,10,341
2100,1,979
2100,2,327
2100,3,362
2100,4,313
2100,5,277
2100,6,480
2100,7,357
2100,8,369
2100,9,358
2100,10,365
2200,1,638
2200,2,387
2200,3,393
2200,4,387
2200,5,359
2200,6,424
2200,7,343
2200,8,312
2200,9,355
2200,10,372
2300,1,750
2300,2,380
2300,3,460
2300,4,398
2300,5,410
2300,6,389
2300,7,373
2300,8,339
2300,9,401
2300,10,425
2400,1,1094
2400,2,405
2400,3,368
2400,4,390
2400,5,359
2400,6,307
2400,7,413
2400,8,388
2400,9,393
2400,10,451
2500,1,1031
2500,2,395
2500,3,423
2500,4,380
2500,5,446
2500,6,370
2500,7,463
2500,8,414
2500,9,392
2500,10,430
2600,1,1209
2600,2,374
2600,3,474
2600,4,382
2600,5,490
2600,6,449
2600,7,429
2600,8,407
2600,9,477
2600,10,399
2700,1,1011
2700,2,403
2700,3,380
2700,4,431
2700,5,477
2700,6,419
2700,7,495
2700,8,400
2700,9,453
2700,10,412
2800,1,1030
2800,2,496
2800,3,472
2800,4,410
2800,5,440
2800,6,376
2800,7,467
2800,8,428
2800,9,444
2800,10,442
2900,1,1403
2900,2,519
2900,3,579
2900,4,405
2900,5,469
2900,6,445
2900,7,445
2900,8,451
2900,9,472
2900,10,472
3000,1,1350
3000,2,392
3000,3,473
3000,4,547
3000,5,455
3000,6,471
3000,7,539
3000,8,477
3000,9,497
3000,10,635
3100,1,1233
3100,2,457
3100,3,483
3100,4,587
3100,5,475
3100,6,591
3100,7,553
3100,8,522
3100,9,544
3100,10,436
3200,1,1205
3200,2,591
3200,3,501
3200,4,470
3200,5,424
3200,6,474
3200,7,528
3200,8,467
3200,9,473
3200,10,550
3300,1,1558
3300,2,561
3300,3,579
3300,4,592
3300,5,559
3300,6,561
3300,7,579
3300,8,650
3300,9,546
3300,10,584
3400,1,1237
3400,2,551
3400,3,510
3400,4,575
3400,5,488
3400,6,486
3400,7,541
3400,8,523
3400,9,616
3400,10,646
3500,1,1907
3500,2,608
3500,3,622
3500,4,590
3500,5,632
3500,6,642
3500,7,610
3500,8,620
3500,9,593
3500,10,583
3600,1,1330
3600,2,603
3600,3,608
3600,4,649
3600,5,605
3600,6,597
3600,7,653
3600,8,557
3600,9,526
3600,10,609
3700,1,1622
3700,2,657
3700,3,589
3700,4,611
3700,5,532
3700,6,576
3700,7,599
3700,8,643
3700,9,602
3700,10,652
3800,1,1956
3800,2,627
3800,3,614
3800,4,622
3800,5,617
3800,6,672
3800,7,630
3800,8,649
3800,9,696
3800,10,587
3900,1,2139
3900,2,678
3900,3,659
3900,4,652
3900,5,652
3900,6,655
3900,7,642
3900,8,662
3900,9,603
3900,10,672
4000,1,1922
4000,2,719
4000,3,598
4000,4,718
4000,5,609
4000,6,711
4000,7,640
4000,8,670
4000,9,651
4000,10,645
4100,1,1866
4100,2,657
4100,3,664
4100,4,683
4100,5,642
4100,6,654
4100,7,658
4100,8,748
4100,9,697
4100,10,749
4200,1,2015
4200,2,682
4200,3,813
4200,4,697
4200,5,755
4200,6,693
4200,7,840
4200,8,703
4200,9,792
4200,10,662
4300,1,1888
4300,2,781
4300,3,821
4300,4,797
4300,5,846
4300,6,616
4300,7,708
4300,8,694
4300,9,820
4300,10,775
4400,1,2632
4400,2,690
4400,3,826
4400,4,762
4400,5,788
4400,6,656
4400,7,829
4400,8,669
4400,9,827
4400,10,768
4500,1,2250
4500,2,870
4500,3,815
4500,4,807
4500,5,692
4500,6,728
4500,7,778
4500,8,854
4500,9,791
4500,10,788
4600,1,2063
4600,2,922
4600,3,709
4600,4,828
4600,5,856
4600,6,782
4600,7,811
4600,8,727
4600,9,878
4600,10,757
4700,1,2502
4700,2,842
4700,3,773
4700,4,818
4700,5,847
4700,6,872
4700,7,778
4700,8,896
4700,9,750
4700,10,868
4800,1,1670
4800,2,838
4800,3,867
4800,4,803
4800,5,827
4800,6,819
4800,7,816
4800,8,857
4800,9,851
4800,10,931
4900,1,2273
4900,2,852
4900,3,876
4900,4,860
4900,5,867
4900,6,835
4900,7,846
4900,8,922
4900,9,889
4900,10,839
5000,1,2346
5000,2,824
5000,3,1043
5000,4,821
5000,5,834
5000,6,882
5000,7,837
5000,8,873
5000,9,787
5000,10,988
5100,1,2081
5100,2,792
5100,3,831
5100,4,959
5100,5,865
5100,6,869
5100,7,898
5100,8,810
5100,9,901
5100,10,873
5200,1,2586
5200,2,920
5200,3,859
5200,4,844
5200,5,859
5200,6,918
5200,7,876
5200,8,912
5200,9,890
5200,10,837
5300,1,2411
5300,2,843
5300,3,915
5300,4,1023
5300,5,897
5300,6,980
5300,7,895
5300,8,871
5300,9,926
5300,10,885
5400,1,2072
5400,2,953
5400,3,910
5400,4,963
5400,5,878
5400,6,894
5400,7,922
