Num of block,Count,Time
100,1,63
100,2,31
100,3,21
100,4,18
100,5,35
100,6,17
100,7,32
100,8,19
100,9,30
100,10,19
200,1,36
200,2,41
200,3,26
200,4,48
200,5,23
200,6,37
200,7,18
200,8,44
200,9,43
200,10,47
300,1,59
300,2,45
300,3,54
300,4,23
300,5,63
300,6,21
300,7,68
300,8,52
300,9,55
300,10,71
400,1,28
400,2,58
400,3,60
400,4,65
400,5,21
400,6,75
400,7,58
400,8,63
400,9,62
400,10,57
500,1,69
500,2,92
500,3,62
500,4,69
500,5,78
500,6,71
500,7,70
500,8,76
500,9,68
500,10,72
600,1,64
600,2,77
600,3,79
600,4,77
600,5,79
600,6,75
600,7,77
600,8,80
600,9,79
600,10,80
700,1,69
700,2,87
700,3,89
700,4,81
700,5,86
700,6,81
700,7,88
700,8,88
700,9,91
700,10,82
800,1,59
800,2,272
800,3,78
800,4,93
800,5,90
800,6,100
800,7,93
800,8,93
800,9,93
800,10,101
900,1,216
900,2,87
900,3,110
900,4,112
900,5,109
900,6,100
900,7,107
900,8,108
900,9,116
900,10,115
1000,1,63
1000,2,325
1000,3,101
1000,4,120
1000,5,105
1000,6,117
1000,7,107
1000,8,110
1000,9,119
1000,10,108
1100,1,290
1100,2,90
1100,3,108
1100,4,120
1100,5,123
1100,6,108
1100,7,137
1100,8,113
1100,9,117
1100,10,114
1200,1,185
1200,2,261
1200,3,209
1200,4,147
1200,5,180
1200,6,165
1200,7,165
1200,8,63
1200,9,111
1200,10,121
1300,1,107
1300,2,450
1300,3,192
1300,4,183
1300,5,165
1300,6,174
1300,7,165
1300,8,183
1300,9,156
1300,10,168
1400,1,457
1400,2,167
1400,3,180
1400,4,183
1400,5,175
1400,6,171
1400,7,170
1400,8,180
1400,9,176
1400,10,176
1500,1,504
1500,2,202
1500,3,184
1500,4,190
1500,5,221
1500,6,172
1500,7,182
1500,8,185
1500,9,184
1500,10,183
1600,1,260
1600,2,444
1600,3,165
1600,4,217
1600,5,197
1600,6,193
1600,7,194
1600,8,196
1600,9,193
1600,10,191
1700,1,559
1700,2,249
1700,3,199
1700,4,195
1700,5,204
1700,6,263
1700,7,265
1700,8,184
1700,9,178
1700,10,203
1800,1,617
1800,2,178
1800,3,215
1800,4,208
1800,5,206
1800,6,205
1800,7,235
1800,8,204
1800,9,213
1800,10,211
1900,1,352
1900,2,436
1900,3,241
1900,4,212
1900,5,211
1900,6,214
1900,7,232
1900,8,203
1900,9,219
1900,10,211
2000,1,336
2000,2,524
2000,3,227
2000,4,238
2000,5,229
2000,6,219
2000,7,309
2000,8,209
2000,9,203
2000,10,264
2100,1,288
2100,2,721
2100,3,184
2100,4,252
2100,5,233
2100,6,263
2100,7,206
2100,8,244
2100,9,232
2100,10,252
2200,1,792
2200,2,228
2200,3,251
2200,4,247
2200,5,243
2200,6,243
2200,7,256
2200,8,231
2200,9,243
2200,10,239
2300,1,812
2300,2,232
2300,3,246
2300,4,239
2300,5,240
2300,6,237
2300,7,247
2300,8,242
2300,9,239
2300,10,243
2400,1,317
2400,2,849
2400,3,342
2400,4,208
2400,5,257
2400,6,247
2400,7,247
2400,8,253
2400,9,249
2400,10,249
2500,1,787
2500,2,374
2500,3,320
2500,4,341
2500,5,333
2500,6,320
2500,7,334
2500,8,316
2500,9,268
2500,10,241
2600,1,382
2600,2,769
2600,3,348
2600,4,237
2600,5,257
2600,6,264
2600,7,393
2600,8,272
2600,9,367
2600,10,323
2700,1,523
2700,2,810
2700,3,291
2700,4,359
2700,5,235
2700,6,390
2700,7,299
2700,8,379
2700,9,328
2700,10,249
2800,1,507
2800,2,741
2800,3,379
2800,4,325
2800,5,342
2800,6,359
2800,7,347
2800,8,333
2800,9,330
2800,10,340
2900,1,1002
2900,2,332
2900,3,355
2900,4,348
2900,5,334
2900,6,349
2900,7,340
2900,8,335
2900,9,341
2900,10,331
3000,1,981
3000,2,347
3000,3,355
3000,4,343
3000,5,355
3000,6,315
3000,7,354
3000,8,365
3000,9,348
3000,10,316
3100,1,583
3100,2,893
3100,3,390
3100,4,354
3100,5,356
3100,6,387
3100,7,353
3100,8,345
3100,9,398
3100,10,358
3200,1,1069
3200,2,370
3200,3,365
3200,4,361
3200,5,455
3200,6,418
3200,7,337
3200,8,356
3200,9,357
3200,10,356
3300,1,1168
3300,2,377
3300,3,364
3300,4,376
3300,5,372
3300,6,371
3300,7,362
3300,8,357
3300,9,334
3300,10,382
3400,1,1300
3400,2,441
3400,3,425
3400,4,356
3400,5,422
3400,6,358
3400,7,386
3400,8,342
3400,9,376
3400,10,347
3500,1,1047
3500,2,368
3500,3,377
3500,4,370
3500,5,375
3500,6,382
3500,7,368
3500,8,383
3500,9,383
3500,10,386
3600,1,1183
3600,2,429
3600,3,436
3600,4,489
3600,5,435
3600,6,432
3600,7,475
3600,8,474
3600,9,459
3600,10,488
3700,1,1200
3700,2,527
3700,3,484
3700,4,484
3700,5,417
3700,6,472
3700,7,484
3700,8,475
3700,9,493
3700,10,454
3800,1,1274
3800,2,470
3800,3,484
3800,4,472
3800,5,500
3800,6,474
3800,7,425
3800,8,528
3800,9,475
3800,10,515
3900,1,703
3900,2,1110
3900,3,468
3900,4,501
3900,5,507
3900,6,446
3900,7,497
3900,8,477
3900,9,509
3900,10,442
4000,1,1511
4000,2,543
4000,3,487
4000,4,496
4000,5,508
4000,6,460
4000,7,461
4000,8,513
4000,9,467
4000,10,548
4100,1,599
4100,2,1210
4100,3,482
4100,4,510
4100,5,516
4100,6,486
4100,7,494
4100,8,439
4100,9,502
4100,10,505
4200,1,1438
4200,2,503
4200,3,521
4200,4,467
4200,5,503
4200,6,582
4200,7,588
4200,8,474
4200,9,510
4200,10,488
4300,1,1434
4300,2,521
4300,3,465
4300,4,560
4300,5,499
4300,6,566
4300,7,553
4300,8,533
4300,9,481
4300,10,540
4400,1,1506
4400,2,513
4400,3,613
4400,4,515
4400,5,511
4400,6,496
4400,7,546
4400,8,611
4400,9,527
4400,10,504
4500,1,1620
4500,2,600
